Frame Number	Computation Time
1197	100500
1198	132600
1199	102900
1200	101100
1201	94900
1202	124100
1203	98300
1204	95200
1205	148000
1206	119400
1207	96400
1208	91800
1209	231000
1210	451300
1211	1112900
1212	100100
1213	116800
1214	177300
1215	116200
1216	77200
1217	97400
1218	86000
1219	87900
1220	86100
1221	242800
1222	87100
1223	86700
1224	79700
1225	96400
1226	96800
1227	80800
1228	79600
1229	138500
1230	82900
1231	93300
1232	87700
1233	247800
1234	88600
1235	80100
1236	81800
1237	96900
1238	493800
1239	84500
1240	80000
1241	119800
1242	152500
1243	84400
1244	80600
1245	251900
1246	102200
1247	86900
1248	129000
1249	453100
1250	739400
1251	131400
1252	278400
1253	300200
1254	99400
1255	93900
1256	109300
1257	102600
1258	104900
1259	103100
1260	126300
1261	312500
1262	5321900
1263	126500
1264	288100
1265	89200
1266	89700
1267	141500
1268	86700
1269	103800
1270	126600
1271	114000
1272	89700
1273	92200
1274	103300
1275	91900
1276	103100
1277	91500
1278	112800
1279	94500
1280	94300
1281	92000
1282	134000
1283	104500
1284	86000
1285	84500
1286	96900
1287	102900
1288	95400
1289	233200
1290	88900
1291	88300
1292	124800
1293	125200
1294	87500
1295	93900
1296	304800
1297	96200
1298	94500
1299	95500
1300	97100
1301	98500
1302	87600
1303	94600
1304	99800
1305	94000
1306	90700
1307	131100
1308	129500
1309	90000
1310	96400
1311	112300
1312	109200
1313	94600
1314	88000
1315	271900
1316	1609200
1317	205400
1318	118900
1319	129700
1320	138400
1321	109200
1322	201000
1323	101600
1324	93300
1325	94800
1326	128900
1327	94800
1328	118700
1329	97400
1330	147800
1331	109100
1332	260600
1333	20950700
1334	114900
1335	375800
1336	97000
1337	115500
1338	167100
1339	103400
1340	159700
1341	115700
1342	176200
1343	155400
1344	109300
1345	126700
1346	96800
1347	95400
1348	145600
1349	144500
1350	91900
1351	106100
1352	137300
1353	97000
1354	104500
1355	224200
1356	94700
1357	128700
1358	99200
1359	107600
1360	108500
1361	96600
1362	196000
1363	98800
1364	283700
1365	937000
1366	290200
1367	1125000
1368	111400
1369	168500
1370	89300
1371	76000
1372	252100
1373	71500
1374	64100
1375	217500
1376	171000
1377	79000
1378	67700
1379	256700
1380	68900
1381	76200
1382	66600
1383	80700
1384	84500
1385	67800
1386	68100
1387	79500
1388	70600
1389	67300
1390	92400
1391	77300
1392	74700
1393	91100
1394	233100
1395	73200
1396	74300
1397	78500
1398	92700
1399	85700
1400	78800
1401	220000
1402	76700
1403	135900
1404	68200
1405	306300
1406	98200
1407	71700
1408	78100
1409	258700
1410	2633800
1411	360800
1412	120700
1413	88900
1414	97400
1415	280400
1416	119300
1417	90700
1418	117800
1419	151100
1420	88700
1421	84200
1422	234200
1423	97900
1424	97100
1425	89800
1426	102700
1427	85900
1428	99600
1429	127600
1430	90600
1431	86500
1432	101200
1433	216600
1434	91300
1435	92600
1436	90100
1437	203800
1438	96500
1439	90500
1440	83700
1441	100600
1442	87500
1443	92300
1444	93000
1445	96100
1446	88100
1447	121000
1448	92900
1449	203800
1450	102000
1451	103900
1452	188200
1453	97100
1454	92100
1455	98900
1456	109800
1457	127200
1458	105600
1459	93200
1460	113000
1461	263000
1462	793200
1463	143000
1464	106100
1465	525600
1466	298000
1467	4835800
1468	110800
1469	91000
1470	122900
1471	295400
1472	87800
1473	96700
1474	131200
1475	105900
1476	163300
1477	96800
1478	83300
1479	82600
1480	117100
1481	144000
1482	97000
1483	187400
1484	107300
1485	87000
1486	112300
1487	98900
1488	88800
1489	96900
1490	88800
1491	156500
1492	90900
1493	84500
1494	85600
1495	111800
1496	107100
1497	82600
1498	105100
1499	267800
1500	425200
1501	312800
1502	152300
1503	119800
1504	113700
1505	124200
1506	318600
1507	98200
1508	100900
1509	190900
1510	100600
1511	93700
1512	93300
1513	284600
1514	94700
1515	116600
1516	93300
1517	182200
1518	95700
1519	97200
1520	96000
1521	111600
1522	101200
1523	91300
1524	92300
1525	136500
1526	96100
1527	129400
1528	267800
1529	1481900
1530	108500
1531	207500
1532	94900
1533	204700
1534	95600
1535	139600
1536	91100
1537	285200
1538	94900
1539	96000
1540	361700
1541	2470600
1542	369500
1543	109000
1544	1168600
1545	3373700
1546	92800
1547	186200
1548	95500
1549	82600
1550	96000
1551	98100
1552	83700
1553	79400
1554	216900
1555	105400
1556	81300
1557	83800
1558	181900
1559	87700
1560	79700
1561	86100
1562	102600
1563	94900
1564	96200
1565	215400
1566	96300
1567	82000
1568	102400
1569	287300
1570	91500
1571	91900
1572	83300
1573	110400
1574	178500
1575	90400
1576	94200
1577	83000
1578	192200
1579	88200
1580	93300
1581	250800
1582	614800
1583	109100
1584	95100
1585	134200
1586	178900
1587	96400
1588	189400
1589	138000
1590	96100
1591	102200
1592	247000
1593	117000
1594	99500
1595	152000
1596	97500
1597	98000
1598	95700
1599	104600
1600	325300
1601	12657000
1602	82000
1603	219600
1604	78000
1605	89300
1606	78000
1607	72600
1608	156100
1609	78700
1610	74000
1611	74600
1612	201200
1613	76900
1614	69900
1615	124400
1616	84500
1617	70800
1618	93300
1619	186900
1620	77700
1621	80100
1622	74000
1623	86300
1624	76900
1625	92300
1626	70400
1627	109100
1628	74000
1629	69400
1630	76300
1631	80500
1632	70100
1633	77500
1634	258900
1635	81900
1636	76400
1637	92700
1638	110100
1639	180300
1640	71300
1641	68400
1642	145800
1643	73600
1644	70900
1645	75000
1646	150800
1647	86400
1648	93200
1649	73500
1650	87300
1651	83800
1652	71400
1653	113700
1654	82900
1655	241500
1656	4306600
1657	177500
1658	275200
1659	126400
1660	368000
1661	98700
1662	104000
1663	372300
1664	2220200
1665	79600
1666	84500
1667	307900
1668	98100
1669	191200
1670	81700
1671	114900
1672	271500
1673	91700
1674	101000
1675	92700
1676	371800
1677	108200
1678	134500
1679	92900
1680	81000
1681	89600
1682	273800
1683	2747900
1684	115200
1685	95900
1686	262400
1687	108400
1688	107300
1689	119700
1690	109600
1691	94900
1692	93000
1693	312800
1694	142900
1695	99400
1696	202600
1697	98600
1698	103500
1699	108500
1700	105000
1701	97100
1702	99800
1703	96000
1704	102200
1705	101700
1706	104300
1707	96100
1708	114400
1709	98100
1710	105100
1711	111400
1712	101200
1713	245000
1714	4507800
1715	121800
1716	77000
1717	417600
1718	82800
1719	152900
1720	101700
1721	74400
1722	218200
1723	83700
1724	71500
1725	166800
1726	87900
1727	125200
1728	78800
1729	86400
1730	73700
1731	70700
1732	76200
1733	80300
1734	71500
1735	79300
1736	71200
1737	82600
1738	80000
1739	70900
1740	70600
1741	86900
1742	87800
1743	71600
1744	93100
1745	80800
1746	72400
1747	91300
1748	72200
1749	78600
1750	75500
1751	75700
1752	85000
1753	111400
1754	71200
1755	70600
1756	257100
1757	72500
1758	71900
1759	153900
1760	80400
1761	72700
1762	76600
1763	111900
1764	75700
1765	113800
1766	108400
1767	283400
1768	3911900
1769	406500
1770	239500
1771	7559600
1772	93600
1773	591000
1774	96800
1775	195200
1776	97000
1777	109800
1778	94900
1779	103400
1780	124100
1781	89000
1782	182100
1783	99900
1784	109100
1785	192900
1786	98700
1787	110700
1788	98600
1789	201600
1790	89200
1791	91000
1792	96200
1793	101500
1794	91700
1795	197100
1796	117500
1797	108200
1798	101100
1799	134400
1800	226900
1801	99600
1802	101000
1803	98100
1804	100700
1805	91000
1806	90100
1807	137900
1808	114800
1809	97200
1810	102300
1811	198300
1812	95900
1813	115800
1814	96100
1815	104300
1816	119900
1817	90400
1818	102600
1819	99900
1820	269600
1821	1432800
1822	281800
1823	109200
1824	99400
1825	95500
1826	339500
1827	146900
1828	94700
1829	150700
1830	99400
1831	95300
1832	340200
1833	1888900
1834	261400
1835	124500
1836	76400
1837	237900
1838	313500
1839	15990300
1840	118500
1841	141900
1842	105300
1843	293800
1844	14183200
1845	131600
1846	405300
1847	102500
1848	124200
1849	96100
1850	180000
1851	98400
1852	95800
1853	113700
1854	99200
1855	98700
1856	143100
1857	106300
1858	98300
1859	98500
1860	204100
1861	299400
1862	1356300
1863	213300
1864	293100
1865	111600
1866	99500
1867	118300
1868	196000
1869	207200
1870	279800
1871	105900
1872	95000
1873	272000
1874	428400
1875	289900
1876	73000
1877	229000
1878	73500
1879	86400
1880	67400
1881	138400
1882	74700
1883	124800
1884	122700
1885	74700
1886	68800
1887	67600
1888	151500
1889	78100
1890	82200
1891	69000
1892	341900
1893	77300
1894	209800
1895	70700
1896	84600
1897	73800
1898	69000
1899	73200
1900	140000
1901	74400
1902	82900
1903	76500
1904	78600
1905	69000
1906	76300
1907	137700
1908	83100
1909	76400
1910	83700
1911	301200
1912	1494900
1913	306300
1914	97500
1915	97300
1916	96900
1917	222800
1918	98400
1919	91000
1920	132800
1921	120600
1922	101400
1923	97600
1924	247100
1925	98800
1926	98500
1927	306800
1928	1180700
1929	99800
1930	249000
1931	214000
1932	70200
1933	188700
1934	442600
1935	71500
1936	63100
1937	262500
1938	72600
1939	72400
1940	138500
1941	86800
1942	82400
1943	71900
1944	76100
1945	85500
1946	69000
1947	489700
1948	1760600
1949	118600
1950	159300
1951	293500
1952	631800
1953	18957100
1954	85100
1955	153100
1956	82000
1957	73100
1958	76100
1959	154300
1960	90200
1961	78400
1962	95800
1963	82000
1964	79200
1965	77400
1966	136800
1967	78500
1968	73200
1969	75700
1970	80500
1971	69300
1972	88500
1973	177800
1974	80900
1975	76100
1976	75500
1977	168300
1978	80300
1979	78300
1980	75000
1981	119100
1982	78500
1983	99400
1984	72600
1985	106400
1986	94000
1987	83800
1988	378000
1989	86200
1990	75200
1991	78200
1992	90600
1993	77000
1994	86000
1995	74100
1996	114500
1997	74500
1998	70300
1999	71000
2000	125900
2001	72700
2002	219700
2003	2264600
2004	169800
2005	526100
2006	7035600
2007	332000
2008	107600
2009	160900
2010	82400
2011	114100
2012	193000
2013	98100
2014	82900
2015	96800
2016	170900
2017	88100
2018	89400
2019	85000
2020	252800
2021	87900
2022	81000
